agent,iter,harness,change,metric,before_ms,after_ms,saved_ms
fable,1,slow4g,static ETag/304 + max-age=300,warm load,4434.8,314.7,4120.1
fable,1,slow4g,static ETag/304 + max-age=300,warm FCP,3968,328,3640
fable,2,slow4g,defer non-feed components,cold FCP,3996,2392,1604
fable,3,slow4g,defer markdown-wasm loader,cold FCP,2392,2184,208
fable,5,slow4g,gzip dev-server responses,cold FCP,2184,1560,624
fable,6,slow4g,embed /posts in shell HTML,cold LCP,1980,1788,192
fable,7,slow4g,de-block 8 page scripts,cold FCP,1564,1444,120
fable,8,slow4g,markdown-wasm on demand,cold FCP,1444,1376,68
fable,9,slow4g,esbuild-bundle critical graphs,cold FCP,1376,968,408
fable,10,slow4g,minify boot bundles,cold FCP,968,936,32
fable,11,slow4g,modulepreload 2 shared chunks,cold FCP,936,776,160
fable,12,slow4g,preload the LCP thumbnail,cold LCP,1000,828,172
fable,19,slow4g,brotli over gzip,cold FCP,784,744,40
fable,20,slow4g,shell document ETag/304,warm FCP,236,180,56
fable,13,lighthouse,skip redundant boot /posts merge,warm LCP,324.7,267.2,57.5
fable,15,lighthouse,dedupe boot /tags + /communities GETs,cold LCP,607.1,587.0,20.1
fable,19,lighthouse,brotli over gzip,cold LCP,585.6,563.1,22.5
qwen,1,lighthouse,split eager component barrel,cold LCP,1333.5,1096.3,237.2
qwen,6,lighthouse,lazy sidebar voice/LiveKit module,cold LCP,1096.3,1052.8,43.5
qwen,14,lighthouse,immutable Cache-Control,warm LCP,995.5,470.1,525.4
qwen,14,lighthouse,immutable Cache-Control,warm FCP,604.8,217.0,387.8
qwen,28,lighthouse,gzip js/css/html/svg,cold FCP,606.4,427.8,178.6
qwen,28,lighthouse,gzip js/css/html/svg,cold LCP,961.4,802.8,158.6
qwen,30,lighthouse,gzip .wasm,cold LCP,802.8,783.0,19.8
qwen,31,lighthouse,memoize per-file gzip buffers,cold FCP,427.9,423.1,4.8
